time,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CAS-ESM2-0,CESM2,CESM2-WACCM,CIESM,CMCC-CM2-SR5,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-ESM2-1,CanESM5,CanESM5-CanOE,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,UKESM1-0-LL
1883-12-31,289.26364,290.0903,289.1627,290.43326,289.55624,289.64017,289.5309,289.4364,289.81354,289.37534,288.50858,287.9721,289.35678,289.2646,288.8025,289.632,289.4695,289.24286,293.10788,288.41428,288.32434,288.57034,288.23325,288.916,289.57138,289.09518,293.45764,288.88293,288.74933,288.08328,289.15228,288.41553,288.80692,290.61377,290.96713,289.6393,289.04645,289.232,289.13483,290.0533,289.24542,289.00476
1884-12-31,288.89896,289.81702,288.8838,290.09073,288.88654,289.0215,289.46826,289.20255,289.3578,289.1298,288.08777,287.74872,289.03888,288.8608,288.44296,289.33932,289.2325,288.82874,292.71466,288.01132,288.1436,288.4079,287.93683,288.55795,289.16943,288.86728,293.35077,288.54034,288.40598,287.9334,288.84286,287.9635,288.458,290.2652,290.59464,289.20645,288.74628,289.15002,288.85278,289.81915,288.95084,288.7011
1885-12-31,288.9623,289.77612,288.9805,290.055,288.99423,289.09717,289.3149,289.30978,289.50168,289.40408,288.3091,287.70074,289.11044,288.9482,288.49652,289.3152,289.2306,288.90808,292.74097,287.77188,288.2346,288.4467,288.01572,288.61115,289.13293,288.87448,293.4874,288.64307,288.3933,288.01007,289.01132,287.8148,288.62573,290.21185,290.54605,289.22922,288.79474,289.03983,289.05505,290.00174,288.9187,288.65765
1886-12-31,288.9672,289.97714,289.1458,290.1867,289.46594,289.25525,289.3491,289.35956,289.595,289.45572,288.36682,287.93518,289.06155,288.8416,288.64075,289.37704,289.34583,288.96524,292.8692,288.11887,288.29678,288.59274,288.14954,288.70514,289.46533,288.97678,293.41098,288.78943,288.5499,288.15012,288.94418,288.036,288.6807,290.3295,290.65002,289.25717,288.9232,289.19724,289.1317,289.96756,289.1943,288.7329
1887-12-31,289.12506,289.91977,289.09686,290.2036,289.3954,289.55838,289.52878,289.31863,289.72687,289.30225,288.2454,288.00772,289.0694,288.9899,288.66064,289.3403,289.4271,289.07632,293.00302,288.2414,288.33084,288.7074,288.23193,288.76648,289.7502,289.00272,293.57385,288.82776,288.43948,288.0906,289.0496,288.11807,288.74243,290.52667,290.68774,289.406,288.9044,289.1561,289.246,289.8113,289.28427,288.8329
1888-12-31,289.1419,289.9895,289.1818,290.38715,289.0505,289.73578,289.57568,289.19232,289.88712,289.306,288.32877,288.1498,289.08667,289.21262,288.67163,289.25598,289.31335,289.0127,293.09433,288.21277,288.27606,288.6468,288.22733,288.99792,289.82944,289.0674,293.76505,288.87244,288.56924,288.09277,289.21112,288.13046,288.8675,290.59207,290.90027,289.56476,289.03088,289.19385,289.24567,289.9143,289.41342,288.99518
1889-12-31,289.18027,290.06067,289.33743,290.35876,289.09976,289.625,289.31052,289.18555,289.77786,289.36646,288.2604,288.00452,288.8491,289.19727,288.82135,289.46143,289.2726,289.13196,293.00336,288.32486,288.32806,288.7528,288.1634,289.06485,289.64252,289.05594,293.70975,288.8379,288.72598,288.0824,289.28772,288.05356,288.81543,290.3853,290.75348,289.52258,289.22665,289.1907,289.19012,289.98346,289.42804,288.9476
1890-12-31,289.2374,290.12857,289.28287,290.30515,289.09515,289.6483,289.4537,289.26172,289.62796,289.30582,288.20352,287.94214,289.07614,289.11734,288.8993,289.41522,289.47937,289.2915,293.09534,288.08054,288.3262,288.64716,288.24817,288.9735,289.52344,289.0994,293.77405,288.9221,288.6101,288.30432,289.17087,288.02213,288.7667,290.27353,290.6743,289.51346,289.2005,289.19955,289.11792,290.11163,289.24423,288.90372
1891-12-31,289.2026,289.98105,289.19247,290.36737,289.37915,289.42688,289.6646,289.26898,289.673,289.33258,288.24365,287.9162,289.06412,288.92908,288.9384,289.37686,289.12772,289.08423,293.0776,288.00232,288.3975,288.6338,288.3155,288.992,289.4942,289.1424,293.61465,288.84427,288.619,288.1623,289.05374,288.00937,288.54437,290.29993,290.76334,289.4983,288.95798,289.35544,289.14645,290.1395,289.21603,289.11768
1892-12-31,289.04242,289.95163,289.2357,290.1947,289.52118,289.46454,289.57693,289.26102,289.77267,289.48282,288.29187,287.98337,288.9046,289.1319,288.915,289.63113,289.33087,289.15158,293.19485,288.18542,288.39862,288.774,288.32208,288.98962,289.78772,288.99445,293.7766,288.75867,288.75272,288.3768,289.14755,288.16074,288.62173,290.5507,290.76834,289.57263,288.90463,289.3407,288.98343,290.0734,289.3477,289.10306
1893-12-31,289.2138,289.98325,289.18552,290.28238,289.45096,289.6685,289.61264,289.35382,289.78952,289.6612,288.44043,288.01685,289.15002,289.04437,288.99017,289.3869,289.34055,289.10794,293.33917,288.0213,288.41394,288.76517,288.2251,289.0459,289.8431,289.0631,293.73492,288.86615,288.7636,288.1774,289.23004,287.97125,288.65753,290.5871,290.84048,289.3715,289.10135,289.32166,289.13232,290.0113,289.2263,288.80753
1894-12-31,289.2899,289.95053,289.27075,290.347,289.59424,289.40167,289.6222,289.35034,289.85965,289.78336,288.48343,287.9542,289.2792,289.13153,288.92566,289.43027,289.46094,289.31564,293.1309,288.24966,288.4669,288.70358,288.23367,289.06232,289.60596,289.1696,293.87045,288.8604,288.6731,288.33804,289.00528,288.20306,288.77567,290.3289,290.86896,289.46136,288.99707,289.37726,289.2119,290.14435,289.35754,288.8654
1895-12-31,289.3087,290.0929,289.22504,290.44244,289.5193,289.49542,289.56113,289.28717,290.08063,289.47165,288.32114,288.03583,289.07718,289.27393,288.91455,289.55566,289.49664,289.42075,293.1732,288.29272,288.30365,288.65457,288.2615,289.1024,289.42044,289.0377,293.65982,288.88354,288.70023,288.4642,289.0101,288.1786,288.95938,290.3301,290.79803,289.44382,289.05136,289.50995,289.33447,290.29395,289.29276,288.9367
1896-12-31,289.35657,290.0301,289.3003,290.463,289.47998,289.77405,289.5676,289.34668,289.8723,289.3315,288.29916,287.8842,288.97125,289.188,288.88522,289.3998,289.41928,289.5859,293.19046,288.05576,288.23013,288.74557,288.35046,289.17606,289.55606,289.16495,293.6186,288.89688,288.70523,288.255,289.08258,288.32233,288.96777,290.4079,290.82004,289.4053,289.11984,289.50848,289.2784,290.085,289.37323,289.0144
1897-12-31,289.41278,290.06952,289.3675,290.37766,289.43066,289.67673,289.6059,289.50354,289.79614,289.47296,288.39746,287.88794,289.04745,289.2433,288.8608,289.47662,289.4635,289.41565,293.00894,288.11887,288.407,288.76556,288.29376,289.14212,289.65512,289.20868,293.59805,289.0589,288.71994,288.32367,289.15265,288.36057,289.06958,290.64038,290.8723,289.3823,289.22305,289.4,289.32574,290.15253,289.42645,288.88443
1898-12-31,289.47073,290.21783,289.29337,290.29965,289.51633,289.50446,289.6449,289.67944,289.94034,289.4994,288.3833,287.97998,289.10077,289.14896,288.82135,289.47797,289.3728,289.3578,293.2789,288.36578,288.40475,288.72565,288.21863,289.08597,289.90378,289.1281,293.81482,288.9739,288.77722,288.32352,289.0903,288.26096,289.1525,290.72858,290.88553,289.36133,289.0433,289.40323,289.3302,290.1936,289.46674,288.91983
1899-12-31,289.4055,290.1376,289.32037,290.2703,289.45544,289.6976,289.62396,289.56223,289.87878,289.64975,288.24573,288.0515,289.1089,289.21414,288.871,289.6221,289.32837,289.43973,293.14624,288.15997,288.47928,288.9429,288.12094,289.24457,289.71173,289.13116,293.8083,288.97327,288.8024,288.47076,289.1125,288.34442,289.09247,290.58655,290.88904,289.3819,288.97714,289.3298,289.25922,290.18518,289.5666,288.84128
1900-12-31,289.40857,290.1666,289.34354,290.38782,289.47058,289.65765,289.6427,289.4996,289.76086,289.71613,288.3519,288.00787,289.0171,289.24054,288.88913,289.50604,289.21265,289.4837,293.29358,288.40356,288.36102,288.7254,288.22012,289.2967,289.43628,289.10822,293.78934,288.9291,288.8225,288.518,289.1556,288.42313,288.96533,290.51428,290.97916,289.43872,288.9816,289.1884,289.2105,290.13715,289.51266,288.92188
1901-12-31,289.35452,290.0778,289.42468,290.32593,289.58868,289.3766,289.64804,289.38055,289.72192,289.8246,288.43274,288.01123,289.25443,289.19104,289.0163,289.40018,289.31326,289.41443,293.08978,288.5517,288.26944,288.8531,288.3941,289.07068,289.5133,289.14563,293.69553,288.96213,288.8477,288.3699,289.083,288.4756,289.05106,290.68335,290.9897,289.5284,289.11374,289.44476,289.13153,290.21307,289.44876,288.76556
1902-12-31,289.3828,289.92764,289.42053,290.20596,289.56433,289.43405,289.69305,289.1882,289.8004,289.71524,288.20154,288.0415,289.04486,289.19693,289.0087,289.3289,289.13226,289.46356,293.1663,288.27087,288.37778,288.9022,288.24384,289.02393,289.67844,289.00592,293.811,289.00885,288.88092,288.353,289.12994,288.20264,289.02966,290.8387,290.85245,289.61945,289.1073,289.3903,289.0219,290.0554,289.36313,288.89404
1903-12-31,289.1839,289.9206,289.20102,290.12827,288.96335,289.42828,289.6109,289.33313,289.78983,289.37808,288.11343,287.932,289.084,289.051,288.93787,289.22467,289.051,289.20355,293.0564,288.04202,288.25516,288.62323,288.1566,288.9052,289.68463,288.8418,293.57544,288.73325,288.71262,288.35193,289.07587,288.09814,288.81158,290.36032,290.46564,289.17722,288.8223,289.151,288.9801,290.02728,289.36728,288.889
1904-12-31,289.19043,289.9065,289.22906,290.2354,289.09717,289.42346,289.73483,289.4602,289.88477,289.41074,288.031,287.87207,289.0801,288.98254,289.0867,289.1828,289.04053,289.09854,293.1221,288.27048,288.1826,288.9111,288.22937,289.19257,289.65076,289.03036,293.50778,288.8185,288.6017,288.30862,288.9234,288.16434,288.9903,290.43533,290.49454,289.28775,289.026,289.37463,289.08008,290.1825,289.36975,288.7787
1905-12-31,289.22546,289.87427,289.1371,290.1438,289.1703,289.36163,289.60883,289.4461,289.70776,289.39285,288.03088,287.92834,288.851,288.93872,288.96835,289.24094,289.1594,289.2738,293.17432,288.31757,288.19193,288.84445,288.14398,289.1697,289.76138,288.99292,293.69946,288.84143,288.8206,288.2543,288.98605,288.39645,289.1021,290.49112,290.61893,289.40723,289.18008,289.4622,289.16437,290.09476,289.23923,288.8391
